image_path,caption
images/001.jpg,一只灰猫蹲在树干上
images/002.jpg,一只沙皮狗站在草地
images/003.jpg,一只灰猫坐在木柴堆
images/004.jpg,白色狗狗的近景特写
images/005.jpg,金毛犬在黄背景微笑
images/006.jpg,一只灰猫趴在木头上
images/007.jpg,黑色小狗戴链绳张望
images/008.jpg,棕色小狗在院子躺着
images/009.jpg,灰猫在秋日树林停留
images/010.jpg,黑白照片里的灰猫
images/011.jpg,几只小猪挤在一起睡
images/012.jpg,一只小猪站在水泥地
images/013.jpg,一群小猪在圈里散步
images/014.jpg,三只小猪躺在稻草上
images/015.jpg,母猪带小猪在窝里躺
images/016.jpg,几只小猪蜷缩着睡觉
images/017.jpg,一群小猪排队吃饲料
images/018.jpg,花斑小猪在草地走动
images/019.jpg,小猪游泳头顶停着海鸟
images/020.jpg,野猪在泥地里觅食
images/021.jpg,小狗躺在落叶堆里
images/022.jpg,金毛犬在阳光下侧脸
images/023.jpg,白色小狗的纯白特写
images/024.jpg,长耳小狗在草地凝望
images/025.jpg,小猎犬趴在草地吐舌
images/026.jpg,虎斑猫在户外注视镜头
images/027.jpg,比格犬站在木板路上
images/028.jpg,两只猫互相蹭脸亲昵
images/029.jpg,比格犬近距离正面特写
images/030.jpg,花猫在路边慢慢走来
images/031.jpg,小猫在草地伸爪玩耍
images/032.jpg,比格犬在木板路眯眼
images/033.jpg,灰猫在阳光下侧身远望
images/034.jpg,暹罗猫在户外冷静凝视
images/035.jpg,哈士奇站在雪地里微笑
images/036.jpg,暹罗猫在野外侧身站立
images/037.jpg,哈士奇在门口安静站着
images/038.jpg,暹罗猫蓝眼睛近景特写
images/039.jpg,哈士奇在草地抬头注视
images/040.jpg,暹罗猫在草地里回眸
images/041.jpg,哈士奇在雪地里吐舌头
images/042.jpg,暹罗猫坐在草丛里晒太阳
images/043.jpg,哈士奇坐在雪堆中喘气
images/044.jpg,暹罗猫蓝眼睛正面特写
images/045.jpg,白色哈士奇侧脸吐舌笑
images/046.jpg,巴哥犬站在木地板上
images/047.jpg,长毛灰猫趴在地毯上
images/048.jpg,白色长毛猫在窗边凝视
images/049.jpg,棕色猫在草地里眯眼
images/050.jpg,白猫躲在购物袋里发呆
